,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,DewPointcl,Trange,SatT
292,1,2007-09-24,90.0,68.0,79.0,18.0,63.0,68.0,0.0,14.0,0541,1746, ,0.0,0.0,0.0,29.27,29.99,11.4,19,11.9,0,22.0,16.0
294,1,2007-09-25,85.0,63.0,74.0,13.0,65.0,69.0,0.0,9.0,0542,1744,TS RA,0.0,0.0,0.27,29.23,29.95,7.9,23,10.5,1,22.0,9.0
296,1,2007-09-26,69.0,53.0,61.0,1.0,50.0,55.0,4.0,0.0,0543,1742,RA,0.0,0.0,0.09,29.31,30.03,4.3,1,6.6,0,16.0,11.0
298,1,2007-09-27,75.0,49.0,62.0,2.0,49.0,55.0,3.0,0.0,0544,1741,BR,0.0,0.0,0.1,29.26,29.97,4.9,24,6.5,0,26.0,13.0
300,1,2007-09-28,73.0,53.0,63.0,4.0,46.0,53.0,2.0,0.0,0545,1739, ,0.0,0.0,0.0,29.47,30.17,2.3,4,7.1,0,20.0,17.0
302,1,2007-09-29,80.0,50.0,65.0,6.0,46.0,55.0,0.0,0.0,0546,1737, ,0.0,0.0,0.0,29.5,30.23,9.5,17,9.8,0,30.0,19.0
304,1,2007-09-30,83.0,59.0,71.0,12.0,49.0,59.0,0.0,6.0,0547,1735,TSRA BR,0.0,0.0,0.14,29.36,30.1,14.4,19,14.6,0,24.0,22.0
306,1,2007-10-01,69.0,59.0,64.0,6.0,59.0,61.0,1.0,0.0,0548,1734,RA DZ FG+ BCFG BR,0.0,0.0,0.29,29.28,30.0,6.1,22,8.1,0,10.0,5.0
308,1,2007-10-02,78.0,57.0,68.0,10.0,59.0,63.0,0.0,3.0,0549,1732,RA FG+ MIFG BR,0.0,0.0,0.09,29.18,29.92,10.8,19,11.1,0,21.0,9.0
310,1,2007-10-03,74.0,55.0,65.0,8.0,48.0,56.0,0.0,0.0,0550,1730, ,0.0,0.0,0.0,29.28,29.98,5.9,26,7.1,0,19.0,17.0
312,1,2007-10-04,82.0,51.0,67.0,10.0,56.0,61.0,0.0,2.0,0552,1729,HZ,0.0,0.0,0.0,29.34,30.04,3.9,17,4.6,0,31.0,11.0
314,1,2007-10-05,84.0,62.0,73.0,16.0,65.0,68.0,0.0,8.0,0553,1727,HZ,0.0,0.0,0.0,29.36,30.08,7.0,17,7.0,1,22.0,8.0
316,1,2007-10-06,87.0,69.0,78.0,22.0,67.0,70.0,0.0,13.0,0554,1725, ,0.0,0.0,0.0,29.33,30.04,6.9,20,7.4,1,18.0,11.0
318,1,2007-10-07,87.0,67.0,77.0,21.0,66.0,70.0,0.0,12.0,0555,1724, ,0.0,0.0,0.0,29.31,30.03,5.2,19,5.9,1,20.0,11.0
320,1,2007-10-08,87.0,60.0,74.0,18.0,61.0,66.0,0.0,9.0,0556,1722, ,0.0,0.0,0.0,29.23,29.93,7.7,24,10.1,0,27.0,13.0
322,1,2007-10-09,76.0,49.0,63.0,8.0,44.0,53.0,2.0,0.0,0557,1720, ,0.0,0.0,0.0,29.21,29.94,11.5,28,12.8,0,27.0,19.0
324,1,2007-10-10,54.0,47.0,51.0,-4.0,38.0,44.0,14.0,0.0,0558,1719,RA DZ,0.0,0.0,0.1,29.21,29.93,15.1,31,15.5,0,7.0,13.0
326,1,2007-10-11,54.0,46.0,50.0,-4.0,39.0,45.0,15.0,0.0,0559,1717, ,0.0,0.0,0.0,29.28,30.01,11.9,36,12.9,0,8.0,11.0
328,1,2007-10-12,56.0,41.0,49.0,-5.0,35.0,43.0,16.0,0.0,0600,1715, ,0.0,0.0,0.0,29.28,30.02,3.4,35,4.6,0,15.0,14.0
330,1,2007-10-13,59.0,40.0,50.0,-3.0,41.0,47.0,15.0,0.0,0602,1714, ,0.0,0.0,0.0,29.31,30.04,2.7,20,3.5,0,19.0,9.0
332,1,2007-10-14,61.0,53.0,57.0,4.0,49.0,53.0,8.0,0.0,0603,1712,RA,0.0,0.0,0.15,29.34,30.06,5.6,11,6.6,0,8.0,8.0
334,1,2007-10-15,74.0,51.0,63.0,10.0,52.0,57.0,2.0,0.0,0604,1711,RA BR,0.0,0.0,0.07,29.21,29.95,4.1,14,5.6,0,23.0,11.0
336,1,2007-10-16,67.0,52.0,60.0,8.0,54.0,57.0,5.0,0.0,0605,1709,RA DZ BR,0.0,0.0,0.24,29.16,29.88,6.4,21,7.5,0,15.0,6.0
338,1,2007-10-17,72.0,47.0,60.0,8.0,53.0,57.0,5.0,0.0,0606,1707,RA HZ,0.0,0.0,0.04,29.07,29.83,9.3,14,9.8,0,25.0,7.0
340,1,2007-10-18,78.0,59.0,69.0,18.0,56.0,61.0,0.0,4.0,0607,1706,RA BR,0.0,0.0,0.3,28.59,29.34,17.2,19,18.9,0,19.0,13.0
342,1,2007-10-19,60.0,52.0,56.0,5.0,48.0,52.0,9.0,0.0,0608,1704,RA BR,0.0,0.0,0.01,28.75,29.44,16.2,24,16.7,0,8.0,8.0
344,1,2007-10-20,73.0,47.0,60.0,10.0,43.0,52.0,5.0,0.0,0610,1703, ,0.0,0.0,0.0,29.02,29.71,10.9,21,12.0,0,26.0,17.0
346,1,2007-10-21,80.0,60.0,70.0,20.0,47.0,57.0,0.0,5.0,0611,1701, ,0.0,0.0,0.0,29.08,29.78,18.0,20,18.2,0,20.0,23.0
348,1,2007-10-22,67.0,46.0,57.0,7.0,47.0,50.0,8.0,0.0,0612,1660,RA DZ BR,0.0,0.0,0.16,29.26,29.97,5.2,36,9.2,0,21.0,10.0
350,1,2007-10-23,58.0,43.0,51.0,2.0,36.0,44.0,14.0,0.0,0613,1658, ,0.0,0.0,0.0,29.2,29.93,5.2,31,8.2,0,15.0,15.0
352,1,2007-10-24,55.0,43.0,49.0,0.0,35.0,42.0,16.0,0.0,0614,1657, ,0.0,0.0,0.0,29.46,30.16,13.3,2,14.5,0,12.0,14.0
354,1,2007-10-25,55.0,45.0,50.0,2.0,39.0,46.0,15.0,0.0,0616,1656,RA,0.0,0.0,0.1,29.47,30.2,13.9,6,14.1,0,10.0,11.0
356,1,2007-10-26,65.0,53.0,59.0,11.0,48.0,52.0,6.0,0.0,0617,1654,RA BR,0.0,0.0,0.33,29.31,30.07,6.2,5,6.9,0,12.0,11.0
358,1,2007-10-27,55.0,37.0,46.0,-2.0,38.0,45.0,19.0,0.0,0618,1653,RA BR,0.0,0.0,0.01,29.56,30.25,9.4,32,9.9,0,18.0,8.0
360,1,2007-10-28,56.0,34.0,45.0,-2.0,30.0,39.0,20.0,0.0,0619,1651, ,0.0,0.0,0.0,29.79,30.52,3.4,23,4.2,0,22.0,15.0
362,1,2007-10-29,61.0,39.0,50.0,3.0,32.0,42.0,15.0,0.0,0620,1650, ,0.0,0.0,0.0,29.63,30.4,10.2,22,10.4,0,22.0,18.0
364,1,2007-10-30,66.0,41.0,54.0,8.0,38.0,46.0,11.0,0.0,0622,1649, ,0.0,0.0,0.0,29.43,30.2,12.2,20,12.5,0,25.0,16.0
366,1,2007-10-31,62.0,41.0,52.0,6.0,37.0,46.0,13.0,0.0,0623,1647, ,0.0,0.0,0.0,29.3,30.02,12.2,25,14.3,0,21.0,15.0
368,1,2008-05-01,74.0,48.0,61.0,8.0,51.0,56.0,4.0,0.0,0448,1849, ,0.0,0.0,0.0,28.95,29.67,10.6,16,11.5,0,26.0,10.0
370,1,2008-05-02,74.0,51.0,63.0,9.0,55.0,58.0,2.0,0.0,0447,1850,TSRA RA BR,0.0,0.0,1.28,28.79,29.53,13.8,20,15.1,0,23.0,8.0
372,1,2008-05-03,56.0,43.0,50.0,-4.0,41.0,46.0,15.0,0.0,0446,1851,RA,0.0,0.0,0.1,29.01,29.69,10.4,25,12.7,0,13.0,9.0
374,1,2008-05-04,65.0,38.0,52.0,-2.0,34.0,45.0,13.0,0.0,0444,1852, ,0.0,0.0,0.0,29.31,30.02,5.6,24,6.3,0,27.0,18.0
376,1,2008-05-05,75.0,50.0,63.0,8.0,38.0,50.0,2.0,0.0,0443,1853, ,0.0,0.0,0.0,29.27,29.99,4.4,26,7.0,0,25.0,25.0
378,1,2008-05-06,81.0,46.0,64.0,9.0,44.0,55.0,1.0,0.0,0442,1855, ,0.0,0.0,0.0,29.16,29.88,6.3,22,7.1,0,35.0,20.0
380,1,2008-05-07,70.0,49.0,60.0,5.0,52.0,56.0,5.0,0.0,0441,1856,RA BR,0.0,0.0,0.76,28.97,29.69,3.5,23,12.3,0,21.0,8.0
382,1,2008-05-08,59.0,45.0,52.0,-4.0,35.0,44.0,13.0,0.0,0439,1857, ,0.0,0.0,0.0,29.08,29.82,12.2,5,12.6,0,14.0,17.0
384,1,2008-05-09,58.0,41.0,50.0,-6.0,34.0,43.0,15.0,0.0,0438,1858, ,0.0,0.0,0.0,29.15,29.85,6.3,3,6.9,0,17.0,16.0
386,1,2008-05-10,61.0,38.0,50.0,-6.0,37.0,45.0,15.0,0.0,0437,1859, ,0.0,0.0,0.0,29.08,29.85,5.9,7,6.3,0,23.0,13.0
388,1,2008-05-11,58.0,46.0,52.0,-5.0,43.0,47.0,13.0,0.0,0436,1860,RA BR,0.0,0.0,0.95,28.85,29.55,14.5,2,17.7,0,12.0,9.0
390,1,2008-05-12,56.0,40.0,48.0,-9.0,38.0,43.0,17.0,0.0,0435,1901, ,0.0,0.0,0.0,29.26,29.96,5.1,7,7.8,0,16.0,10.0
392,1,2008-05-13,73.0,40.0,57.0,-1.0,45.0,51.0,8.0,0.0,0434,1902,TSRA RA,0.0,0.0,0.08,29.2,29.93,15.5,18,15.9,0,33.0,12.0
394,1,2008-05-14,64.0,45.0,55.0,-3.0,48.0,52.0,10.0,0.0,0433,1903,DZ BR,0.0,0.0,0.02,29.19,29.89,2.0,25,9.6,0,19.0,7.0
396,1,2008-05-15,57.0,43.0,50.0,-8.0,37.0,45.0,15.0,0.0,0432,1904, ,0.0,0.0,0.0,29.33,30.05,6.8,5,7.9,0,14.0,13.0
398,1,2008-05-16,73.0,40.0,57.0,-2.0,41.0,50.0,8.0,0.0,0431,1905, ,0.0,0.0,0.0,29.1,29.86,8.9,25,9.4,0,33.0,16.0
400,1,2008-05-17,73.0,52.0,63.0,4.0,41.0,52.0,2.0,0.0,0430,1906,RA,0.0,0.0,0.12,28.87,29.61,12.9,30,14.7,0,21.0,22.0
402,1,2008-05-18,55.0,44.0,50.0,-10.0,39.0,45.0,15.0,0.0,0429,1907, ,0.0,0.0,0.0,28.93,29.64,3.5,34,8.2,0,11.0,11.0
404,1,2008-05-19,60.0,40.0,50.0,-10.0,33.0,43.0,15.0,0.0,0428,1908,RA,0.0,0.0,0.1,28.96,29.69,3.9,7,5.7,0,20.0,17.0
406,1,2008-05-20,66.0,47.0,57.0,-4.0,37.0,47.0,8.0,0.0,0427,1909, ,0.0,0.0,0.0,28.94,29.66,7.3,31,9.2,0,19.0,20.0
408,1,2008-05-21,66.0,41.0,54.0,-7.0,36.0,46.0,11.0,0.0,0426,1910, ,0.0,0.0,0.0,29.0,29.7,7.2,32,9.2,0,25.0,18.0
410,1,2008-05-22,59.0,45.0,52.0,-9.0,38.0,45.0,13.0,0.0,0425,1911, ,0.0,0.0,0.0,29.24,29.94,8.8,5,9.8,0,14.0,14.0
412,1,2008-05-23,57.0,46.0,52.0,-9.0,39.0,45.0,13.0,0.0,0425,1912, ,0.0,0.0,0.0,29.41,30.12,10.7,3,10.9,0,11.0,13.0
414,1,2008-05-24,67.0,40.0,54.0,-8.0,40.0,48.0,11.0,0.0,0424,1913, ,0.0,0.0,0.0,29.44,30.18,7.4,7,8.4,0,27.0,14.0
416,1,2008-05-25,78.0,44.0,61.0,-1.0,50.0,57.0,4.0,0.0,0423,1914,TSRA,0.0,0.0,0.1,29.18,29.93,10.3,18,11.9,0,34.0,11.0
418,1,2008-05-26,81.0,47.0,64.0,2.0,60.0,64.0,1.0,0.0,0422,1915,TSRA RA BR,0.0,0.0,0.48,29.11,29.81,6.2,25,11.8,0,34.0,4.0
420,1,2008-05-27,50.0,42.0,46.0,-16.0,35.0,42.0,19.0,0.0,0422,1916, ,0.0,0.0,0.0,29.5,30.19,19.2,3,19.3,0,8.0,11.0
422,1,2008-05-28,62.0,43.0,53.0,-10.0,32.0,43.0,12.0,0.0,0421,1916, ,0.0,0.0,0.0,29.6,30.34,8.2,6,8.7,0,19.0,21.0
424,1,2008-05-29,67.0,42.0,55.0,-9.0,37.0,47.0,10.0,0.0,0421,1917,RA,0.0,0.0,0.01,29.39,30.16,3.5,11,4.2,0,25.0,18.0
426,1,2008-05-30,77.0,55.0,66.0,2.0,59.0,62.0,0.0,1.0,0420,1918,TSRA RA BR,0.0,0.0,0.4,29.03,29.79,8.4,21,10.4,0,22.0,7.0
428,1,2008-05-31,79.0,59.0,69.0,5.0,56.0,62.0,0.0,4.0,0420,1919, ,0.0,0.0,0.0,29.1,29.8,10.8,28,11.9,0,20.0,13.0
430,1,2008-06-01,74.0,53.0,64.0,0.0,47.0,55.0,1.0,0.0,0419,1920, ,0.0,0.0,0.0,29.23,29.95,4.6,10,5.4,0,21.0,17.0
432,1,2008-06-02,86.0,56.0,71.0,7.0,52.0,60.0,0.0,6.0,0419,1920,RA,0.0,0.0,0.1,29.16,29.89,1.9,8,4.8,0,30.0,19.0
434,1,2008-06-03,69.0,55.0,62.0,-2.0,55.0,57.0,3.0,0.0,0418,1921,TSRA RA FG+ FG BR,0.0,0.0,0.52,28.97,29.69,7.3,4,9.2,0,14.0,7.0
436,1,2008-06-04,78.0,54.0,66.0,2.0,59.0,61.0,0.0,1.0,0418,1922,TSRA DZ FG+ FG BR HZ,0.0,0.0,0.1,28.9,29.62,4.5,4,5.2,0,24.0,7.0
438,1,2008-06-05,87.0,60.0,74.0,9.0,68.0,71.0,0.0,9.0,0417,1923,TSRA BR,0.0,0.0,0.64,29.0,29.7,11.5,20,14.0,1,27.0,6.0
440,1,2008-06-06,87.0,73.0,80.0,14.0,68.0,72.0,0.0,15.0,0417,1923,RA,0.0,0.0,0.1,29.07,29.76,21.1,20,21.5,1,14.0,12.0
442,1,2008-06-07,85.0,69.0,77.0,11.0,71.0,73.0,0.0,12.0,0417,1924,TS RA BR,0.0,0.0,0.11,29.16,29.86,12.5,19,13.2,1,16.0,6.0
444,1,2008-06-08,85.0,64.0,75.0,9.0,68.0,70.0,0.0,10.0,0417,1925,TS TSRA RA,0.0,0.0,1.24,29.11,29.81,6.5,18,12.2,1,21.0,7.0
446,1,2008-06-09,74.0,65.0,70.0,4.0,64.0,66.0,0.0,5.0,0416,1925,RA BR,0.0,0.0,0.14,29.1,29.82,6.3,22,7.7,0,9.0,6.0
448,1,2008-06-10,79.0,59.0,69.0,2.0,56.0,61.0,0.0,4.0,0416,1926,RA,0.0,0.0,0.1,29.18,29.89,8.8,25,9.6,0,20.0,13.0
450,1,2008-06-11,86.0,61.0,74.0,7.0,56.0,64.0,0.0,9.0,0416,1926, ,0.0,0.0,0.0,29.28,29.99,8.9,18,10.0,0,25.0,18.0
452,1,2008-06-12,91.0,73.0,82.0,14.0,63.0,69.0,0.0,17.0,0416,1927, ,0.0,0.0,0.0,29.2,29.9,16.1,18,16.3,0,18.0,19.0
454,1,2008-06-13,82.0,65.0,74.0,6.0,62.0,66.0,0.0,9.0,0416,1927,TSRA RA BR,0.0,0.0,0.39,29.21,29.92,8.9,22,9.9,0,17.0,12.0
456,1,2008-06-14,84.0,59.0,72.0,4.0,53.0,61.0,0.0,7.0,0416,1928, ,0.0,0.0,0.0,29.23,29.94,8.3,24,8.8,0,25.0,19.0
458,1,2008-06-15,81.0,61.0,71.0,3.0,60.0,64.0,0.0,6.0,0416,1928,RA,0.0,0.0,0.18,29.15,29.84,8.1,24,9.8,0,20.0,11.0
460,1,2008-06-16,72.0,59.0,66.0,-3.0,49.0,57.0,0.0,1.0,0416,1929, ,0.0,0.0,0.0,29.2,29.91,10.7,31,11.2,0,13.0,17.0
462,1,2008-06-17,76.0,55.0,66.0,-3.0,46.0,55.0,0.0,1.0,0416,1929, ,0.0,0.0,0.0,29.26,29.97,10.7,30,11.2,0,21.0,20.0
464,1,2008-06-18,77.0,56.0,67.0,-3.0,48.0,56.0,0.0,2.0,0416,1929, ,0.0,0.0,0.0,29.21,29.92,4.8,3,7.3,0,21.0,19.0
466,1,2008-06-19,81.0,52.0,67.0,-3.0,46.0,56.0,0.0,2.0,0416,1930, ,0.0,0.0,0.0,29.21,29.93,1.8,25,5.1,0,29.0,21.0
468,1,2008-06-20,82.0,58.0,70.0,0.0,53.0,60.0,0.0,5.0,0416,1930,TSRA RA,0.0,0.0,0.09,29.25,29.96,6.7,22,7.9,0,24.0,17.0
470,1,2008-06-21,82.0,61.0,72.0,2.0,52.0,61.0,0.0,7.0,0416,1930, ,0.0,0.0,0.01,29.24,29.95,7.1,29,7.8,0,21.0,20.0
472,1,2008-06-22,82.0,57.0,70.0,0.0,52.0,59.0,0.0,5.0,0417,1931,TS TSRA,0.0,0.0,0.16,29.18,29.89,2.9,31,5.1,0,25.0,18.0
474,1,2008-06-23,77.0,56.0,67.0,-3.0,54.0,59.0,0.0,2.0,0417,1931, ,0.0,0.0,0.0,29.33,30.04,3.9,4,6.4,0,21.0,13.0
476,1,2008-06-24,82.0,55.0,69.0,-2.0,53.0,60.0,0.0,4.0,0417,1931, ,0.0,0.0,0.0,29.44,30.15,5.1,18,5.8,0,27.0,16.0
478,1,2008-06-25,79.0,66.0,73.0,2.0,64.0,67.0,0.0,8.0,0417,1931,RA,0.0,0.0,0.08,29.28,29.99,8.0,22,9.3,0,13.0,9.0
480,1,2008-06-26,86.0,70.0,78.0,7.0,66.0,70.0,0.0,13.0,0418,1931,BR,0.0,0.0,0.0,29.15,29.86,6.3,26,7.3,1,16.0,12.0
482,1,2008-06-27,84.0,66.0,75.0,4.0,67.0,70.0,0.0,10.0,0418,1931,RA,0.0,0.0,0.1,29.05,29.76,6.7,22,7.4,1,18.0,8.0
484,1,2008-06-28,83.0,64.0,74.0,3.0,55.0,63.0,0.0,9.0,0419,1931,TSRA HZ,0.0,0.0,0.04,28.98,29.69,12.1,25,13.2,0,19.0,19.0
486,1,2008-06-29,75.0,60.0,68.0,-3.0,58.0,61.0,0.0,3.0,0419,1931,RA BR,0.0,0.0,0.58,29.08,29.77,7.3,31,9.7,0,15.0,10.0
488,1,2008-06-30,80.0,59.0,70.0,-2.0,50.0,58.0,0.0,5.0,0419,1931, ,0.0,0.0,0.0,29.28,29.98,6.0,34,9.6,0,21.0,20.0
490,1,2008-07-01,83.0,58.0,71.0,-1.0,51.0,60.0,0.0,6.0,0420,1931, ,0.0,0.0,0.0,29.24,29.97,8.1,24,8.0,0,25.0,20.0
492,1,2008-07-02,87.0,63.0,75.0,3.0,62.0,66.0,0.0,10.0,0420,1931,TS RA BR,0.0,0.0,0.2,29.09,29.79,8.7,23,13.2,0,24.0,13.0
494,1,2008-07-03,71.0,55.0,63.0,-9.0,51.0,57.0,2.0,0.0,0421,1931, ,0.0,0.0,0.1,29.34,30.04,11.6,3,12.0,0,16.0,12.0
496,1,2008-07-04,76.0,52.0,64.0,-8.0,50.0,57.0,1.0,0.0,0422,1930, ,0.0,0.0,0.0,29.35,30.06,6.0,5,6.6,0,24.0,14.0
498,1,2008-07-05,80.0,54.0,67.0,-5.0,52.0,59.0,0.0,2.0,0422,1930, ,0.0,0.0,0.0,29.31,30.03,4.6,7,7.0,0,26.0,15.0
500,1,2008-07-06,87.0,59.0,73.0,1.0,57.0,65.0,0.0,8.0,0423,1930, ,0.0,0.0,0.0,29.21,29.94,9.3,19,9.4,0,28.0,16.0
502,1,2008-07-07,87.0,71.0,79.0,7.0,67.0,71.0,0.0,14.0,0423,1930,TSRA RA,0.0,0.0,0.03,29.16,29.87,10.9,22,11.9,1,16.0,12.0
504,1,2008-07-08,85.0,70.0,78.0,5.0,67.0,71.0,0.0,13.0,0424,1929, ,0.0,0.0,0.03,29.1,29.81,7.8,26,9.1,1,15.0,11.0
506,1,2008-07-09,85.0,67.0,76.0,3.0,55.0,63.0,0.0,11.0,0425,1929, ,0.0,0.0,0.1,29.26,29.95,9.5,31,10.3,0,18.0,21.0
508,1,2008-07-10,82.0,64.0,73.0,0.0,63.0,66.0,0.0,8.0,0425,1929,TSRA RA BR,0.0,0.0,0.72,29.26,29.99,8.5,23,9.2,0,18.0,10.0
510,1,2008-07-11,88.0,64.0,76.0,3.0,65.0,69.0,0.0,11.0,0426,1928,TSRA RA BR,0.0,0.0,0.34,29.23,29.97,5.2,20,8.4,1,24.0,11.0
512,1,2008-07-12,81.0,65.0,73.0,0.0,63.0,66.0,0.0,8.0,0427,1928,TS TSRA RA BR,0.0,0.0,0.73,29.19,29.89,7.7,26,10.3,0,16.0,10.0
514,1,2008-07-13,79.0,62.0,71.0,-2.0,54.0,61.0,0.0,6.0,0428,1927, ,0.0,0.0,0.0,29.12,29.84,12.1,27,12.4,0,17.0,17.0
516,1,2008-07-14,84.0,62.0,73.0,0.0,54.0,62.0,0.0,8.0,0428,1927, ,0.0,0.0,0.0,29.22,29.92,4.5,29,7.8,0,22.0,19.0
518,1,2008-07-15,90.0,61.0,76.0,2.0,62.0,68.0,0.0,11.0,0429,1926, ,0.0,0.0,0.0,29.3,30.0,6.8,23,7.4,0,29.0,14.0
520,1,2008-07-16,90.0,71.0,81.0,7.0,66.0,70.0,0.0,16.0,0430,1925, ,0.0,0.0,0.0,29.39,30.09,5.0,23,7.2,1,19.0,15.0
522,1,2008-07-17,89.0,71.0,80.0,6.0,66.0,71.0,0.0,15.0,0431,1925, ,0.0,0.0,0.0,29.33,30.05,8.6,22,9.0,1,18.0,14.0
524,1,2008-07-18,86.0,74.0,80.0,6.0,68.0,72.0,0.0,15.0,0432,1924,RA,0.0,0.0,0.04,29.24,29.95,2.6,22,5.4,1,12.0,12.0
526,1,2008-07-19,78.0,67.0,73.0,-1.0,68.0,69.0,0.0,8.0,0433,1923,RA BR VCTS,0.0,0.0,1.61,29.19,29.91,2.0,33,5.8,1,11.0,5.0
528,1,2008-07-20,86.0,68.0,77.0,3.0,68.0,71.0,0.0,12.0,0433,1923,TSRA,0.0,0.0,0.74,29.2,29.91,4.5,25,5.7,1,18.0,9.0
530,1,2008-07-21,83.0,68.0,76.0,2.0,65.0,68.0,0.0,11.0,0434,1922,TSRA RA,0.0,0.0,0.13,29.21,29.92,3.3,3,7.4,1,15.0,11.0
532,1,2008-07-22,77.0,63.0,70.0,-4.0,59.0,64.0,0.0,5.0,0435,1921, ,0.0,0.0,0.1,29.31,30.0,8.2,3,8.7,0,14.0,11.0
534,1,2008-07-23,81.0,60.0,71.0,-3.0,52.0,60.0,0.0,6.0,0436,1920, ,0.0,0.0,0.0,29.39,30.1,7.6,2,8.5,0,21.0,19.0
536,1,2008-07-24,82.0,59.0,71.0,-3.0,53.0,61.0,0.0,6.0,0437,1919, ,0.0,0.0,0.0,29.33,30.05,3.9,24,4.4,0,23.0,18.0
538,1,2008-07-25,82.0,61.0,72.0,-2.0,63.0,67.0,0.0,7.0,0438,1918, ,0.0,0.0,0.0,29.26,29.99,5.5,23,6.9,0,21.0,9.0
540,1,2008-07-26,84.0,65.0,75.0,1.0,58.0,65.0,0.0,10.0,0439,1918,BR,0.0,0.0,0.0,29.22,29.94,8.5,31,9.1,0,19.0,17.0
542,1,2008-07-27,83.0,62.0,73.0,-1.0,58.0,64.0,0.0,8.0,0440,1917, ,0.0,0.0,0.0,29.16,29.89,5.9,24,6.7,0,21.0,15.0
544,1,2008-07-28,85.0,66.0,76.0,2.0,63.0,67.0,0.0,11.0,0441,1916, ,0.0,0.0,0.0,29.16,29.87,4.0,7,6.1,0,19.0,13.0
546,1,2008-07-29,88.0,65.0,77.0,3.0,67.0,70.0,0.0,12.0,0442,1915,TSRA RA,0.0,0.0,0.05,29.14,29.85,6.4,20,7.9,1,23.0,10.0
548,1,2008-07-30,89.0,72.0,81.0,7.0,65.0,70.0,0.0,16.0,0443,1914, ,0.0,0.0,0.0,29.04,29.75,7.8,27,8.6,1,17.0,16.0
550,1,2008-07-31,89.0,72.0,81.0,7.0,67.0,70.0,0.0,16.0,0444,1913,RA BR,0.0,0.0,0.14,29.06,29.76,4.9,27,5.8,1,17.0,14.0
552,1,2008-08-01,89.0,68.0,79.0,6.0,68.0,72.0,0.0,14.0,0445,1911,RA,0.0,0.0,1.05,29.09,29.79,3.1,31,5.7,1,21.0,11.0
554,1,2008-08-02,81.0,65.0,73.0,0.0,59.0,65.0,0.0,8.0,0446,1910, ,0.0,0.0,0.0,29.24,29.93,8.4,3,9.2,0,16.0,14.0
556,1,2008-08-03,84.0,61.0,73.0,0.0,61.0,66.0,0.0,8.0,0447,1909, ,0.0,0.0,0.0,29.24,29.96,5.3,18,6.0,0,23.0,12.0
558,1,2008-08-04,87.0,70.0,79.0,6.0,68.0,70.0,0.0,14.0,0448,1908,TS TSRA RA BR,0.0,0.1,2.43,29.18,29.9,3.1,18,9.0,1,17.0,11.0
560,1,2008-08-05,87.0,69.0,78.0,5.0,67.0,71.0,0.0,13.0,0449,1907,HZ,0.0,0.0,0.0,29.24,29.93,6.2,31,7.4,1,18.0,11.0
562,1,2008-08-06,84.0,67.0,76.0,3.0,60.0,66.0,0.0,11.0,0450,1906, ,0.0,0.0,0.0,29.29,30.0,6.8,30,8.1,0,17.0,16.0
564,1,2008-08-07,82.0,64.0,73.0,0.0,56.0,63.0,0.0,8.0,0451,1904, ,0.0,0.0,0.0,29.26,29.98,7.8,34,9.4,0,18.0,17.0
566,1,2008-08-08,79.0,63.0,71.0,-2.0,54.0,61.0,0.0,6.0,0452,1903, ,0.0,0.0,0.0,29.29,30.01,4.5,2,7.4,0,16.0,17.0
568,1,2008-08-09,80.0,62.0,71.0,-2.0,58.0,62.0,0.0,6.0,0453,1902, ,0.0,0.0,0.1,29.2,29.92,2.6,31,9.0,0,18.0,13.0
570,1,2008-08-10,74.0,58.0,66.0,-7.0,52.0,58.0,0.0,1.0,0454,1900, ,0.0,0.0,0.0,29.31,30.02,8.4,2,9.0,0,16.0,14.0
572,1,2008-08-11,77.0,59.0,68.0,-5.0,57.0,61.0,0.0,3.0,0455,1859, ,0.0,0.0,0.0,29.3,30.02,3.9,5,6.3,0,18.0,11.0
574,1,2008-08-12,77.0,61.0,69.0,-4.0,57.0,62.0,0.0,4.0,0456,1858, ,0.0,0.0,0.0,29.17,29.9,3.3,10,3.8,0,16.0,12.0
576,1,2008-08-13,79.0,66.0,73.0,0.0,59.0,63.0,0.0,8.0,0457,1856,RA,0.0,0.0,0.06,29.11,29.84,3.0,7,4.6,0,13.0,14.0
578,1,2008-08-14,79.0,63.0,71.0,-1.0,60.0,64.0,0.0,6.0,0458,1855,BR HZ,0.0,0.0,0.0,29.23,29.93,7.3,3,7.9,0,16.0,11.0
580,1,2008-08-15,78.0,61.0,70.0,-2.0,54.0,61.0,0.0,5.0,0459,1854, ,0.0,0.0,0.0,29.44,30.13,6.9,3,7.9,0,17.0,16.0
582,1,2008-08-16,83.0,58.0,71.0,-1.0,53.0,61.0,0.0,6.0,0500,1852, ,0.0,0.0,0.0,29.4,30.13,5.7,29,6.5,0,25.0,18.0
584,1,2008-08-17,84.0,63.0,74.0,2.0,60.0,65.0,0.0,9.0,0501,1851, ,0.0,0.0,0.0,29.28,30.01,7.9,26,8.0,0,21.0,14.0
586,1,2008-08-18,85.0,65.0,75.0,3.0,57.0,64.0,0.0,10.0,0502,1849, ,0.0,0.0,0.0,29.26,29.98,7.2,27,7.4,0,20.0,18.0
